"?""Artikelnummer""";GTIN/EAN;Bezeichnung;Beschreibung;Notiz;Einheit;Steuerart;VK (Netto);Gelagert;Meldebestand
YT54W;;Yealink T54W xVoice UC Edition;"'- Hochwertiges Business-SIP-Telefon 
- Hochauflösendes 3,7? Farbdisplay
- Integrierte Bluetooth- und WiFi-Funktion 
- Verstellbarer LCD-Bildschirm
- Freisprechen mit brillianter Akustik 
- Lieferung ohne Netzteil";;Stück;USt19;149;;
YT53W;;Yealink T53W - xVoice UC Edition;"'- Standard Business-SIP-Telefon 
- Hochauflösendes 3,7? Monochromdisplay
- Integrierte Bluetooth und WiFi-Funktion 
- Verstellbarer LCD-Bildschirm
- Freisprechen mit brillianter Akustik 
- Lieferung ohne Netzteil";;Stück;USt19;129;;
YT57W;;Yealink T57W xVoice UC Edition;"'- Hochwertiges Business-SIP-Telefon
- Hochauflösendes 7? Touchscreen-Farbdisplay
- Integrierte Bluetooth- und WiFi-Funktion
- Verstellbarer LCD-Bildschirm
- Yealink Optima HD-Technologie 
- 27 Zieltasten für Direktwahl 
- Freisprechen mit brillianter Akustik
- Lieferung ohne Netzteil";;Stück;USt19;229;3;1
YT58W;;Yealink T58W - xVoice UC Edition;"'- Business-SIP-Telefon mit Android
- HD-Videokonferenzen über optionale Kamera CAM50
- Hochauflösendes 7? Touchscreen-Farbdisplay
- Integrierte Bluetooth- und WiFi-Funktion
- Verstellbarer Bildschirm
- Yealink Optima HD-Technologie 
- 27 Zieltasten für Direktwahl
- Lieferung ohne Netzteil";;Stück;USt19;259;;
YT58WP;;Yealink T58W pro - xVoice UC Edition;"'- Business-SIP-Telefon mit Android
- schnurloser Bluetooth-Telefonhörer BTH58 
- HD-Videokonferenzen über optionale Kamera CAM50
- Hochauflösendes 7? Touchscreen-Farbdisplay
- Integrierte Bluetooth- und WiFi-Funktion
- Verstellbarer Bildschirm
- Türsprechanlagen-Funktionen 
- Yealink Optima HD-Technologie 
- Opus-Codec-Unterstützung
- 27 Zieltasten für Direktwahl
- Lieferung ohne Netzteil";;Stück;USt19;289;;
YW59R;;Yealink W59R Handset - xVoice UC Edition;"DECT-Standards: CAT-iq 2.0
Display: TFT-Farbdisplay, 1,8 Zoll, beleuchtet
Gesprächszeit: bis 28 Stunden
Standby-Zeit: bis 360 Stunden
Anrufliste: bis 100 Einträge
Rufnummernerkennung: ja, CLIP, CNIP
Adressbucheinträge: bis 100 Einträge
Freisprechfunktion: ja, Voll-Duplex-Qualität
Lieferung: inkl. Mobilteil, Ladeschale, Netzteil, Akku, Gürtelclip";;Stück;USt19;159;;
YW73H;;Yealink W73H Mobilteil xVoice UC Edition;"'- Leistungsstarkes SIP-Schnurlostelefon
- mit beleuchtetem 1,8"" TFT-Farbdisplay
- Freisprechen mit brillanter Akustik in Voll-Duplex Qualität
- Zur Erweiterung von Yealink IP-Telefonen und DECT-Basisstationen
- Mit stabilem Gürtelclip zum einfachen Mitführen am Körper";;Stück;USt19;79;4;4
YW73P;;Yealink W73P xVoice UC Edition;"'- Leistungsstarkes SIP-Schnurlostelefon
- Mit beleuchtetem 1,8"" TFT-Farbdisplay
- Freisprechen mit brillanter Akustik in Voll-Duplex
- Bis zu 20 Anrufe gleichzeitig (bis 2 pro Mobilteil)
- Erweiterbar auf bis zu 10 Mobilteile";;Stück;USt19;109;;
YW74H;;Yealink W74H Handset - xVoice UC Edition;"Display: TFT-Farbdisplay, 1,8 Zoll, beleuchtet
Gesprächszeit: bis 24 Stunden
Standby-Zeit: bis 320 Stunden
Anrufliste: bis 100 Einträge
Rufnummernerkennung: ja, CLIP, CNIP
Adressbucheinträge: bis 100 Einträge
Freisprechfunktion: ja, in HD-Audio-Qualität
Schnittstellen: 3,5mm Headset-Buchse, Bluetooth
Lieferung: 
Mobilteil, Ladeschale, Netzteil, Akku, Gürtelclip";;Stück;USt19;79;;
YW78H;;Yealink W78H Handset - xVoice UC Edition;"DECT-Standards: CAT-iq 2.0
Display: TFT-Farbdisplay, 1,8 Zoll, beleuchtet
Gesprächszeit: bis 21 Stunden
Standby-Zeit: bis 166 Stunden
Anrufliste: bis 100 Einträge
Rufnummernerkennung: ja, CLIP, CNIP
Adressbucheinträge: bis 100 Einträge
Freisprechfunktion: ja, in HD-Audio-Qualität
Schnittstellen: 3,5mm Headset-Buchse
Reichweite: bis 50 m im Innenbereich, bis 300 m Freiluft
Lieferung:
Mobilteil, Ladeschale, Netzteil, Akku, Gürtelclip";;Stück;USt19;109;;
YWH64D;;Yealink WH64 duo Headset - xVoice UC Edition;"Das WH64 Dual ist sowohl mit DECT- als auch mit Bluetooth-Drahtlostechnologie ausgestattet und bietet nahtlose Konnektivität mit Ihrem Computer, tragbaren elektronischen Geräten und Konferenzsystemen, so dass eine zuverlässige Kommunikation ohne Kabel gewährleistet ist.
Mit der Acoustic Shield Technology und einem breiten Frequenzgang von 20 - 20.000 Hz liefert dieses Headset einen klaren Klang, egal ob Sie telefonieren oder Musik hören. Das binaurale On-Ear-Design und der Stereo-Sound-Ausgabemodus verbessern das Hörerlebnis und isolieren Ihr Gespräch von Hintergrundgeräuschen.";;Stück;USt19;159;;
YWH64M;;Yealink WH64 mono Headset - xVoice UC Edition;"Das WH64  ist sowohl mit DECT- als auch mit Bluetooth-Drahtlostechnologie ausgestattet und bietet nahtlose Konnektivität mit Ihrem Computer, tragbaren elektronischen Geräten und Konferenzsystemen, so dass eine zuverlässige Kommunikation ohne Kabel gewährleistet ist.
Der wiederaufladbare Akku des Headsets bietet eine Standby-Zeit von bis zu 195 Stunden und eine schnelle Aufladezeit von nur 1,5 Stunden und unterstützt kontinuierliche Gespräche und Wiedergabe über DECT- und Bluetooth-Verbindungen. So bleiben Sie den ganzen Tag über in Verbindung und produktiv.";;Stück;USt19;149;;
YWH68H;;Yealink WH68 hybrid - xVoice UC Edition;"Das Yealink WH68 Hybrid Headset bietet optimale Flexibilität und außergewöhnlichen Komfort. Genießen Sie hochwertige Klangqualität für Meetings und Musik. Mit seiner leichten Bauweise und dem modischen Design ist dieses Headset der ideale Begleiter für jeden modernen Arbeitsplatz.
Der Frequenzbereich von 20 bis 20000 Hz sorgt für ein beeindruckendes Klangerlebnis. Ob leise oder laute Töne ? jedes Detail wird perfekt wiedergegeben.
Mit einem Gewicht von nur 155 g sorgt das Headset für maximalen Komfort, auch bei längerer Nutzung. Die leichte Bauweise und das ergonomische Design machen es angenehm zu tragen.";OP;Stück;USt19;149;;
GT2;;xVoice VoIP analog Adapter;VoIP Adapter zum Betrieb von analogen Nebenstellen, wie Fax usw. an unser xVoice UC Cloudtelefonanlage;;Stück;USt19;69;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
